file_name,verified_transcript,raw_transcript
DISP-2026-A55BDD.wav,coquitlam engine 1 respond routine burning complaint gabriola drive and dunkirk avenue near gabriola drive and dunkirk avenue use talk group 5 coquitlam map grid 100 coquitlam engine 1 respond routine burning complaint gabriola drive and dunkirk avenue near gabriola drive and dunkirk avenue use talk group 5 coquitlam map grid 100,"Coquitlam Engine 1, Respond, routine, burning complaint, Gabriela Drive & Dunkirk Avenue, near Gabriela Drive & Dunkirk Avenue, use talk group, 5 Coquitlam, map grid, 1, 0, 0, Coquitlam Engine 1, Respond, routine, burning complaint, Gabriela  And Dunkirk Avenue, near Gabriela Drive & Dunkirk Avenue, use talk group, 5 Coquitlam, map grid, 1, 0, 0,"
DISP-2026-CE7F92.wav,coquitlam engine 1 respond emergency medical aid - collapse 2920 headstone court use talk group combined response coquitlam map grid 89 coquitlam engine 1 respond emergency medical aid - collapse 2920 headstone court use talk group combined response coquitlam map grid 89,"Coquitlam Engine 1, respond, emergency, medical aid, collapse, 2, 9, 2, 0, headstone, court, use talk group, 10 Combined Response Coquitlam, map grid, 8, 9, Coquitlam, engine 1, respond, emergency, medical aid, collapse, 29, 20, headstone, court, use talk group, 10 Combined Response Coquitlam, map grid, 8, 9."
DISP-2026-80656F.wav,coquitlam medic 1 respond emergency medical aid - overdose 3030 gordon avenue rain city housing near christmas way and westwood street use talk group 10 combined response coquitlam map grid 68 coquitlam medic 1 respond emergency medical aid - overdose 3030 gordon avenue rain city housing near christmas way and westwood street use talk group 10 combined response coquitlam map grid 68,"Coquitlam, Medic, 1, Respond, Emergency, Medical Aid, overdose, 3, 0, 3, 0, Gordon, Avenue, Rain City Housing, Near, Christmas, Way, and Westwood, Street, use talk group, 10 Combined Response Coquitlam, map grid, 6, 8. Coquitlam, Atlantic, Whiting,"
DISP-2026-D106EB.wav,coquitlam medic 1 respond emergency medical aid overdose 303 0 gordon avenue rain city housing near christmas way and westwood street use talk group 10 combined response coquitlam map grid 6 8 coquitlam medic one respond emergency medical aid overdose 30 30 gordon avenue rain city housing coquitlam medic 1 respond emergency medical aid overdose 303 0 gordon avenue rain city housing near christmas way and westwood street use talk group 10 combined response coquitlam map grid 6 8 coquitlam medic one respond emergency medical aid overdose 30 30 gordon avenue rain city housing,"Coquitlam, Medic, 1, Respond, Emergency, Medical Aid, overdose, 303, 0, Gordon, Avenue, Rain City Housing, Near, Christmas, Way, and Westwood, Street, use talk group, 10 Combined Response Coquitlam, map grid, 6, 8, Coquitlam, Medic, One, respond, emergency, Medical Aid, overdose, 30, 30, Gordon Avenue, Rain City Housing,"
DISP-2026-4F427E.wav,coquitlam medic one respond emergency medical aid cardiac arrest 3000 lougheed highway superstore town centre near turning lane and westwood street use talk group 10 combined response coquitlam map grid 68 coquitlam medic one respond emergency medical aid cardiac arrest 3000 lougheed highway superstore town centre near turning lane and westwood street use talk group 10 combined response coquitlam map grid 68,"Coquitlam, Medic, 1, Respond, Emergency, Medical Aid, Cardiac, Arrest, 3, 0, 0, 0, Lowheed Highway, Superstore Town Center, Near, Turning Lane, and Westwood, Street, use talk group, 10 Combined Response Coquitlam, map grid, 6, Six, Eight, Coquitlam, Medic, One, respond, emergency, medical aid, cardiac arrest, 3,000, low-heat highway, Superstore, town center, near, turning lane, and westward, street, use talk group, 10 Combined Response Coquitlam, map grid, six, eight."
DISP-2026-D2546B.wav,coquitlam engine 1 respond routine report of smoke watkins avenue and collins road near watkins avenue and collins road use talk group 5 coquitlam map grid 109 coquitlam engine 1 respond routine report of smoke watkins avenue and collins road near watkins avenue and collins road use talk group 5 coquitlam map grid 109 coquitlam engine 1 respond routine report of smoke watkins avenue and collins road near watkins avenue and collins road use talk group 5 coquitlam map grid 109 coquitlam engine 1 respond routine report of smoke watkins avenue and collins road near watkins avenue and collins road use talk group 5 coquitlam map grid 109,"Coquitlam Engine 1, respond, routine, report of smoke, Watkins, Avenue and Collins Road, near Watkins, Avenue and Collins Road, use talk group, 5 Coquitlam, map grid, 109, Coquitlam Engine 1. respond, routine, report of smoke, Watkins, Avenue and Collins Road, near Watkins, Avenue and Collins Road, use talk group, 5 Coquitlam, map grid, 109"
DISP-2026-959DD1.wav,coquitlam engine 1 respond emergency medical aid allergic reaction 3 1 0 0 ozada avenue number 3 13 near pipeline road and inlet street use talk group 10 combined response coquitlam map grid 9 8 coquitlam engine 1 respond emergency medical aid allergic reaction 3 1 0 0 ozada avenue number 3 13 near pipeline road and inlet street use talk group 10 combined response coquitlam map grid 9 8,"Coquitlam Engine 1, respond, emergency, medical aid, allergic reaction, 3, 1, 0, 0, osada, avenue, number 3, 13, near Pipeline, road, and inlet, street, use talk group, 10 Combined Response Coquitlam, map grid, 9, 8, Coquitlam Engine 1, respond, emergency, medical aid, allergic reaction, 31,00, Ozeita, Avenue, number 3, 13, near Pipeline, Road and Inlet, Street, use talk group, 10 Combined Response Coquitlam, map grid, 9, 8"
DISP-2026-450ADB.wav,coquitlam engine 1 respond emergency medical aid 1150 kensal place number 117 use talk group 10 combined response coquitlam map grid 98 coquitlam engine 1 respond emergency medical aid 1150 kensal place number 117 use talk group 10 combined response coquitlam map grid 98,"Coquitlam, Engine 1, Respond, Emergency, Medical Aid, 1, 1, 5, 0, Kensal Place, Number 117, Use Talk Group, 10 Combined Response Coquitlam, Map Grid, 9, 8, Coquitlam Engine, Corp. 1, respond, emergency, medical aid, 1150, Kensal Place, number 117, use talk group, 10 Combined Response Coquitlam, map grid, 9-8."
DISP-2026-287408.wav,coquitlam engine 1 respond emergency medical aid - collapse 1252 town center boulevard near princess crescent and unnamed lane use talk group combined response coquitlam map grid 85 coquitlam engine 1 respond emergency medical aid - collapse 1252 town center boulevard near princess crescent and unnamed lane use talk group combined response coquitlam map grid 85,"Coquitlam Engine 1, Respond, Emergency, Medical Aid, Collapse, 1, 2, 5, 2, Town Center Boulevard, Near, Princess, Crescent, and Unnamed Lane, use  Talk Group, 10 Combined Response Coquitlam, map grid, 8, 5, Coquitlam Engine, W... 1, respond, emergency, medical aid, collapse, 12-52, town center, boulevard, near, princess, crescent, and unnamed lane, use talk group, 10 Combined Response Coquitlam, map grid, 8-5"
DISP-2026-A2B5AE.wav,coquitlam engine two ladder one respond emergency alarm activated 3133 patullo cres near kenny street use talk group 6 coquitlam map grid 88 coquitlam engine two ladder one respond emergency alarm activated 3133 patullo cres near kenny street use talk group 6 coquitlam map grid 88,"Coquitlam Engine 2, Ladder 1, Respond, Emergency, Alarm activated, 3, 1, 3, 3, Patulow, Crescent, Near, Canny, Street, use talk group, 6, Coquitlam, map grid, 8, 8. Coquitlam Engine 2, Ladder 1, respond, emergency, alarm activated, 31, 33, Petulo, Crescent, near Kenny Street, use  talk group, 6 Coquitlam, map grid, 8-8."
DISP-2026-E792B0.wav,coquitlam medic 1 respond emergency medical aid abdominal pain 2900 barnet highway near turning lane use talk group 10 combined response coquitlam map grid 82 coquitlam medic 1 respond emergency medical aid abdominal pain 2900 barnet highway near turning lane use talk group 10 combined response coquitlam map grid 82,"Coquitlam, Medic, 1, Respond, Emergency, Medical Aid, Epidominal Pain, 2, 9, 0, 0, Barnette Highway, Near Turning Lane, Use Talk Group, 10 Combined Response Coquitlam, Map Grid, 8, 2, Coquitlam, Coquitlam, Medic, One, respond, emergency, medical aid, abdominal pain, 29,00, Barnett Highway, near Turning Lane, use talk group, 10 Combined Response Coquitlam, map grid, 8, 2."
DISP-2026-03AB4B.wav,coquitlam engine 2 rescue 2 quint 5 car 5 respond emergency vehicle fire large vehicle port mann bridge near trans canada highway use talk group 5 coquitlam map grid 52 coquitlam engine 2 rescue 2 quint 5 car 5 respond emergency vehicle fire large vehicle port mann bridge near trans canada highway use talk group 5 coquitlam map grid 52,"Coquitlam Engine 2, Rescue 2, Quint 5, Car 5, Respond Emergency, Vehicle Fire, Large Vehicle, Portman, Bridge, Near, Trans Canada, Highway, Use Talk Group, 5 Coquitlam, Map Grid,  5-2, Coquitlam Engine 2, Rescue, Two, Quint, Five, Car, Five, Respond, Emergency, Vehicle, Fire, Large Vehicle, Portman, Bridge, Near, Trans, Canada, Highway, use talk group, Five Coquitlam, map grid, Five, Two."
DISP-2026-585DF6.wav,coquitlam engine 4 engine 1 respond emergency alarm activated 3472 gislason avenue near soball street and mitchell street use talk group 5 coquitlam map grid 111 coquitlam engine 4 engine 1 respond emergency alarm activated 3472 gislason avenue near soball street and mitchell street use talk group 5 coquitlam map grid 111,"Coquitlam, Engine 4, Engine 1, Respond, Emergency, Alarm activated, 3, 4, 7, 2, Gislaison, Avenue, Near, Sobal, Street & Mitchell, Street, Use Talk Group, 5, Coquitlam, Map grid, 1, 1, 1, Coquitlam, Sodium Engine 4, Engine 1, Respond Emergency, Alarm activated, 34, 72, Gislaison, Avenue, Near, Sobal, Street & Mitchell Street, Use Talk Group, 5 Coquitlam, map grid, 1, 1, 1"
