arrival_to_far_corner_m,area_m2,address_rows,unit_rows,distinct_house_numbers,street,example_address,example_address_last,arrival_lat,arrival_lng,site_centre_lat,site_centre_lng
5734.5,240263,29,1,28,Burke Mountain,100 Pinecone Burke Mtn,Burke Mountain St,49.288423,-122.744930,49.331297,-122.713977
2862.6,386792,1,0,1,Quarry,6000 Quarry Rd,6000 Quarry Rd,49.325910,-122.672328,49.340308,-122.651472
2672.7,85861,1,0,0,Addington,Addington Pt,Addington Pt,49.308142,-122.699552,49.292484,-122.675352
2625.8,987463,7,0,7,Lougheed,2601 Lougheed Hwy,2745 Lougheed Hwy,49.239780,-122.814803,49.250070,-122.805090
1995.2,813795,2,0,2,Plateau,3251 Plateau Blvd,3500 Plateau Blvd,49.322166,-122.793206,49.311881,-122.799307
1867.4,162588,1,0,0,Harper,Harper Rd,Harper Rd,49.301815,-122.728183,49.316421,-122.730978
1826.5,1009228,1,0,1,Colony Farm,200 Colony Farm Rd,200 Colony Farm Rd,49.229920,-122.807396,49.237195,-122.811861
1647.4,163351,1,0,0,Munro Creek,Munro Creek,Munro Creek,49.325910,-122.672328,49.338480,-122.675050
1541.8,1174168,1,0,1,Quarry,4455 Quarry Rd,4455 Quarry Rd,49.301088,-122.706718,49.300313,-122.701341
1449.0,1697805,7,0,7,Hillcrest,550 Mariner Way,691 Hillcrest St,49.256012,-122.835420,49.256564,-122.827010
1445.1,687913,1,0,1,Oliver,4350 Oliver Rd,4350 Oliver Rd,49.293006,-122.711684,49.286533,-122.711137
1435.2,18562,1,0,0,Power Line,Power Line Rd,Power Line Rd,49.262850,-122.810505,49.263151,-122.810931
1379.2,30558,1,0,1,Quarry,4291 Quarry Rd,4291 Quarry Rd,49.318292,-122.690851,49.308496,-122.682559
1307.7,97104,1,0,1,Quarry,4299 Quarry Rd,4299 Quarry Rd,49.322724,-122.680088,49.312633,-122.682003
1269.3,159774,1,0,0,E/O Pipeline,E/O Pipeline Rd,E/O Pipeline Rd,49.313529,-122.749271,49.319757,-122.758461
1257.3,157345,1,0,0,Oliver,Oliver Rd,Oliver Rd,49.293053,-122.702839,49.298404,-122.692142
1254.1,649496,1,0,1,Oliver,4300 Oliver Rd,4300 Oliver Rd,49.292973,-122.717074,49.287304,-122.720236
1227.4,52540,1,0,1,United,1780 United Blvd,1780 United Blvd,49.229120,-122.850264,49.226045,-122.850961
1219.1,14,1,0,1,Quarry,4295 Quarry Rd,4295 Quarry Rd,49.318406,-122.690731,49.309427,-122.681184
1217.0,527484,1,0,1,Parkway,1685 Parkway Blvd,1685 Parkway Blvd,49.306231,-122.803530,49.308077,-122.796335
1131.5,33123,1,0,1,Pipeline,1850 Pipeline Rd,1850 Pipeline Rd,49.328612,-122.774192,49.326693,-122.788649
1114.9,161957,1,0,0,Calgary,Calgary Dr,Calgary Dr,49.300596,-122.711521,49.305216,-122.719813
1062.0,55621,1,0,0,Como Lake,Como Lake Ave,Como Lake Ave,49.263420,-122.846388,49.271733,-122.844410
1050.8,738667,1,0,1,Oliver,4400 Oliver Rd,4400 Oliver Rd,49.293053,-122.702839,49.288897,-122.698163
1048.6,23037,1,0,0,Fraser River,Fraser River,Fraser River,49.228399,-122.817415,49.222850,-122.808518
1034.3,268393,1,0,1,Eagle Mountain,1799 Eagle Mountain Dr,1799 Eagle Mountain Dr,49.310803,-122.809418,49.314362,-122.804938
949.6,442360,8,0,8,Pinetree,1201 Pinetree Way,3099 Trevor Wingrove Way,49.285853,-122.789807,49.289196,-122.786459
938.9,171659,1,0,1,United,1001 United Blvd,1001 United Blvd,49.229831,-122.865023,49.231539,-122.870006
922.3,614515,1,0,1,Austin,771 Austin Ave,771 Austin Ave,49.249026,-122.875773,49.252692,-122.877334
914.6,128167,1,0,0,S.E. Quarry,S.E. Quarry Rd,S.E. Quarry Rd,49.322723,-122.680081,49.316624,-122.680988
910.0,66589,1,0,1,Eagle Mountain,2000 Eagle Mountain Dr,2000 Eagle Mountain Dr,49.310729,-122.809264,49.313626,-122.801878
893.0,159817,1,0,0,N/O Quarry,N/O Quarry Rd,N/O Quarry Rd,49.322638,-122.688173,49.327580,-122.692118
884.3,625749,1,0,1,Quarry,4700 Quarry Rd,4700 Quarry Rd,49.323371,-122.681082,49.325735,-122.683509
881.6,76545,1,0,1,Quarry,5300 Quarry Rd,5300 Quarry Rd,49.325910,-122.672328,49.331153,-122.668244
881.4,223363,1,0,1,Shaughnessy,1190 Shaughnessy St,1190 Shaughnessy St,49.278767,-122.773032,49.281769,-122.769305
866.6,398197,1,0,1,Ozada,3201 Ozada Ave,3201 Ozada Ave,49.280779,-122.778470,49.281754,-122.774916
864.7,90690,1,0,1,Lansdowne,1231 Lansdowne Dr,1231 Lansdowne Dr,49.285794,-122.812256,49.289402,-122.810073
848.0,165803,1,0,0,Crouch,Crouch Ave,Crouch Ave,49.296652,-122.724575,49.302073,-122.725365
845.7,15488,1,0,0,Hazel,Hazel Ave,Hazel Ave,49.307428,-122.755838,49.312833,-122.749741
840.7,357,1,0,1,Quarry,5600 Quarry Rd,5600 Quarry Rd,49.325910,-122.672328,49.332227,-122.666195
823.6,254714,1,0,1,Pipeline,1520 Pipeline Rd,1520 Pipeline Rd,49.304844,-122.774197,49.307944,-122.777457
796.7,29152,1,0,0,Pitt River,Pitt River Rd,Pitt River Rd,49.250385,-122.800209,49.255452,-122.798460
790.3,106931,1,0,1,Camelback,1819 Camelback Crt,1819 Camelback Crt,49.313814,-122.789502,49.310584,-122.790051
769.4,110463,13,12,1,North,225 North Rd,225 North Rd H,49.238472,-122.892528,49.237823,-122.889771
753.1,113428,1,0,1,Johnson,1490 Johnson St,1490 Johnson St,49.300910,-122.795967,49.304157,-122.798153
746.5,40058,1,0,1,Braid,25 Braid St,25 Braid St,49.226275,-122.876404,49.226313,-122.870999
739.7,6676,1,0,0,Panorama,Panorama Dr,Panorama Dr,49.301087,-122.822635,49.304461,-122.822644
713.0,62978,1,0,0,S.E./O Quarry,S.E./O Quarry Rd,S.E./O Quarry Rd,49.318393,-122.690744,49.313907,-122.686486
702.8,145545,1,0,1,Cedar,4170 Cedar Dr,4170 Cedar Dr,49.288506,-122.724698,49.285122,-122.727151
685.5,275349,1,0,1,Colony Farm,70 Colony Farm Rd,70 Colony Farm Rd,49.229920,-122.807396,49.228363,-122.811314
673.8,47075,1,0,1,Cedar,4182 Cedar Dr,4182 Cedar Dr,49.288518,-122.724356,49.283973,-122.723699
